item_id,tracking,meeting_date,portal_http,tracking_match,title_match,date_found,site_page,attach_check,note
11245,RES 2020 #33,2020-01-27,200,exact,prefix,yes,yes,,truncated side: ours (58 vs 59 chars)
9782,CMA 2019 #217,2019-07-30,200,exact,prefix,yes,yes,,truncated side: ours (221 vs 222 chars)
16688,POR 2022 #144,2022-08-01,200,exact,prefix,yes,yes,,truncated side: ours (115 vs 116 chars)
25585,CMA 2024 #204,2024-09-23,200,exact,prefix,yes,yes,,truncated side: ours (138 vs 139 chars)
7225,AR-18-61,2018-06-18,200,exact,prefix,yes,none,,truncated side: ours (159 vs 160 chars)
11282,POR 2020 #21,2020-02-03,200,exact,prefix,yes,yes,,truncated side: ours (240 vs 241 chars)
21747,RES 2023 #313,2023-12-18,200,exact,prefix,yes,yes,,truncated side: ours (69 vs 70 chars)
24622,POR 2024 #84,2024-06-17,200,exact,prefix,yes,yes,,truncated side: ours (333 vs 334 chars)
24388,CMA 2024 #115,2024-06-03,200,exact,prefix,yes,yes,,truncated side: ours (144 vs 145 chars)
31519,CMA 2025 #297,2025-12-15,200,exact,prefix,yes,yes,,truncated side: ours (208 vs 209 chars)
27865,CMA 2025 #46,2025-03-17,200,exact,prefix,yes,yes,,truncated side: ours (326 vs 327 chars)
24883,CMA 2024 #160,2024-08-05,200,exact,prefix,yes,yes,,truncated side: ours (247 vs 248 chars)
30434,AR-25-38,2025-06-23,200,exact,prefix,yes,none,,truncated side: ours (262 vs 263 chars)
15147,AR-21-89,2021-12-06,200,exact,prefix,yes,none,,truncated side: ours (114 vs 115 chars)
11467,POR 2020 #46,2020-03-02,200,exact,prefix,yes,yes,,truncated side: ours (301 vs 302 chars)
14177,CMA 2021 #141,2021-06-07,200,exact,prefix,yes,yes,,truncated side: ours (232 vs 233 chars)
16445,CMA 2022 #124,2022-06-13,200,exact,prefix,yes,yes,,truncated side: ours (242 vs 243 chars)
15212,CMA 2021 #274,2021-12-13,200,exact,prefix,yes,yes,,truncated side: ours (516 vs 517 chars)
11192,CMA 2020 #17,2020-01-27,200,exact,prefix,yes,yes,,truncated side: ours (284 vs 285 chars)
6245,AR-18-7,2018-02-05,200,exact,prefix,yes,none,,truncated side: ours (103 vs 104 chars)
6578,COM 211 #2018,2018-03-05,200,exact,prefix,yes,none,,truncated side: ours (114 vs 115 chars)
7663,POR 2018 #219,2018-09-24,200,exact,exact,yes,yes,,
11508,CMA 2020 #64,2020-03-16,200,exact,prefix,yes,yes,,truncated side: ours (442 vs 443 chars)
10753,RES 2019 #371,2019-11-04,200,exact,exact,yes,yes,,
10357,POR 2019 #309,2019-09-23,200,exact,prefix,yes,yes,,truncated side: ours (239 vs 240 chars)
17869,RES 2023 #23,2023-01-23,200,exact,prefix,yes,yes,,truncated side: ours (46 vs 47 chars)
17017,POR 2022 #262,2022-10-03,200,exact,prefix,yes,yes,,truncated side: ours (103 vs 104 chars)
20063,RES 2023 #191,2023-06-26,200,exact,prefix,yes,yes,,truncated side: ours (100 vs 101 chars)
